vehicle,fm,Mileage,lh,lc,mc,State
1347,3,5136,3.6,279.1,119.66,AZ
1348,6,59525,0.9,37.17,114.53,NA
1349,4,12289,1.5,106.05,175.46,PA
1350,2,900,2.2,153.47,119.66,MA
1351,8,14967,1.7,126.24,128.21,IN
1352,5,10155,3.3,247.86,445.31,PA
1353,12,64176,3.1,240.33,119.66,AZ
1354,3,11995,1.3,83.77,119.66,FL
1355,4,5437,1.2,88.84,119.66,KY
1356,15,62100,6.5,456.37,175.46,MT
1357,0,569,1,75.41,119.66,TX
1358,16,24550,1.8,120.35,119.66,NC
1359,1,1157,4.1,314.95,118.36,NV
1360,15,21504,1.6,119.06,119.66,FL
1361,15,29017,3.3,255.09,119.66,UT
1362,10,9359,4.3,273.34,128.21,GA
1363,5,31338,35.2,2652.37,75.17,TX
1364,0,3,3.1,244.9,0,CO
1365,2,2589,0.2,15.65,119.66,TX
1366,3,3095,8.5,607.75,160.96,GA
1367,4,2863,4.4,317.71,119.66,MD
1368,1,911,1.2,80.46,119.66,AL
1369,12,22492,1,75.04,213.85,FL
1370,7,75106,2.3,209.73,0,TX
1371,14,72079,2,169.27,119.66,AL
1372,8,33858,1.7,143.24,128.21,GA
1373,13,21179,8.7,689.67,175.46,CA
1374,12,37090,0,0,0,PA
1375,0,15,4.2,366.13,167.52,NJ
1376,11,38100,2.2,183.45,120.02,CA
1377,2,1016,0.9,43.41,119.66,ME
1378,9,12333,4.2,372.54,128.21,IL
1379,12,21101,1.4,96.2,119.66,FL
1380,3,20426,1.7,133.45,119.66,KS
1381,-1,122,1.7,142.24,119.66,MA
1382,6,2069,3.5,277.46,119.66,WA
1383,0,177,0.8,58.21,119.66,NC
1384,4,5071,5.5,426.3,175.46,AZ
1385,-1,34473,11.8,933.61,1942.55,CA
1386,19,23081,2.5,174.96,119.66,FL
1387,15,25627,3.5,264.74,239.05,FL
1388,11,26348,2.3,183.28,196.82,KS
1389,2,1309,24.4,1492.31,621.95,TX
1390,10,24130,5.1,364.98,404.78,FL
1391,0,45,2.6,186.43,119.66,TX
1392,16,27665,1.6,86.54,206.48,GA
1393,16,64702,4.3,296.39,322.18,TN
1394,5,8707,3.5,319.56,175.46,CA
1395,0,523,5.2,400.9,119.66,FL
1396,9,23431,5.3,435.22,119.66,WA
1397,17,52756,2.6,188.54,119.66,TX
